,text,date,amusement_parks,ferris_wheels,water_parks,miniature_parks,baths_and_saunas,climbing,stadiums,winter_sports,natural_springs,water,nature_reserves,beaches,railway_stations,dams,mints,mineshafts,science_museums,churches,cathedrals,monasteries,synagogues,hindu_temples,mosques,archaeology,castles,fortified_towers,bunkers,military_museums,battlefields,war_graves,cemeteries,mausoleums,crypts,monuments,tumuluses,wall_painting,fountains,sculptures,gardens_and_parks,archaeological_museums,art_galleries,biographical_museums,history_museums,local_museums,national_museums,fashion_museums,planetariums,zoos,aquariums,skyscrapers,towers,historic_architecture,bridges
16,"Jestem fanem dziedzictwa kulturowego i uwielbiam zgłębiać historię poprzez zabytki. Moje hobby to zwiedzanie muzeów, zamków, i miejsc o bogatej historii. Najchętniej spędzam wolny czas w miejscach, gdzie mogę odkrywać unikatowe dziedzictwo kulturowe i historyczne zabytki.","{'Data': 'Planuję swoją wycieczkę na maj. Będzie trwała 12 dni, od 10 maja do 21 maja.'}",1,4,1,2,1,1,1,1,3,3,2,1,4,2,3,4,4,5,4,4,3,2,3,5,5,4,3,4,4,3,3,4,3,4,3,2,2,4,4,5,4,3,5,4,5,3,1,1,1,2,5,5,4
17,"Jestem zafascynowany roślinnością i uwielbiam odkrywać różnorodność flory. Moje hobby to zwiedzanie ogrodów botanicznych, poznawanie różnych gatunków roślin oraz pielęgnacja własnego ogrodu. Najchętniej spędzam wolny czas w miejscach, gdzie mogę podziwiać piękno roślinności i ogrodów botanicznych.","{'Data': 'Planuję swoją wycieczkę na czerwiec. Będzie trwała 8 dni, od 15 czerwca do 22 czerwca.'}",1,2,2,1,1,1,1,1,4,3,3,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,2,1,2,1,1,1,1,1,3,1,1
18,"Jestem entuzjastą dzikiej przyrody i uwielbiam obserwować dzikie zwierzęta w ich naturalnym środowisku. Moje hobby to safari, eksploracja parków narodowych i dbanie o ochronę dzikiej fauny. Najchętniej spędzam wolny czas w miejscach, gdzie mogę podziwiać dziką przyrodę i uczestniczyć w safari.","{'Data': 'Planuję swoją wycieczkę na lipiec. Będzie trwała 10 dni, od 5 lipca do 15 lipca.'}",1,1,1,1,1,1,1,1,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,4,1,1,5,1,1,4,1,2
19,"Jestem zapalonym podróżnikiem i fascynuje mnie poznawanie różnorodności kulturowej oraz tradycji miejscowych społeczności. Moje hobby to eksploracja lokalnej kuchni, uczestnictwo w tradycyjnych świętach i spotykaniu się z miejscowymi mieszkańcami. Najchętniej spędzam wolny czas w miejscach, gdzie mogę zanurzyć się w autentycznej kulturze i tradycjach ludzi.","{'Data': 'Planuję swoją wycieczkę na wrzesień. Będzie trwała 14 dni, od 10 września do 23 września.'}",1,2,1,1,1,1,1,1,3,2,3,2,4,2,2,1,1,4,3,4,3,3,3,2,4,2,1,1,2,1,3,2,1,3,1,2,1,2,2,3,4,2,5,4,5,1,1,1,1,1,3,5,3
20,"Jestem entuzjastą działań na świeżym powietrzu i uwielbiam aktywności rekreacyjne. Moje hobby to wędrówki, rower, bieganie, jazda na nartach i wszelkiego rodzaju sporty outdoorowe. Najchętniej spędzam wolny czas w miejscach, gdzie mogę cieszyć się aktywnościami na świeżym powietrzu.","{'Data': 'Planuję swoją wycieczkę na październik. Będzie trwała 7 dni, od 8 października do 14 października.'}",1,1,1,1,1,4,1,4,2,3,5,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,2,1,1,1,1,1,4,1,1
21,"Jestem pasjonatem podróży w czasie i fascynuje mnie historia miejsc związanych z ważnymi wydarzeniami. Moje hobby to zwiedzanie miejsc historycznych, muzeów oraz odkrywanie tajemnic przeszłości. Najchętniej spędzam wolny czas w miejscach, gdzie mogę zagłębić się w historię i kulturę danego okresu.","{'Data': 'Planuję swoją wycieczkę na listopad. Będzie trwała 10 dni, od 7 listopada do 16 listopada.'}",1,2,1,1,1,1,1,1,2,4,3,1,3,2,3,2,4,5,4,4,3,2,3,5,5,4,3,4,4,3,3,4,3,4,3,2,2,4,4,5,4,3,5,4,5,3,1,1,1,2,5,5,4
22,"Jestem entuzjastą festiwali filmowych i uwielbiam eksplorować miejsca związane z kinematografią. Moje hobby to oglądanie filmów, uczestnictwo w festiwalach filmowych oraz zwiedzanie miejsc związanych z historią kina. Najchętniej spędzam wolny czas w miejscach, gdzie mogę czerpać z kulturalnego bogactwa świata filmu.","{'Data': 'Planuję swoją wycieczkę na grudzień. Będzie trwała 6 dni, od 10 grudnia do 15 grudnia.'}",1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,4,5,3,2,4,4,1,1,1,1,3,1,1
23,"Jestem miłośnikiem rekreacji wodnej i uwielbiam spędzać czas na plażach nadmorskich. Moje hobby to surfowanie, pływanie, nurkowanie i relaksowanie się na pięknych plażach. Najchętniej spędzam wolny czas w miejscach, gdzie mogę cieszyć się wodnymi atrakcjami i malowniczymi plażami.","{'Data': 'Planuję swoją wycieczkę na lipiec. Będzie trwała 14 dni, od 1 lipca do 14 lipca.'}",1,1,4,1,3,1,1,1,1,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,3,1,2
24,"Jestem zapalonym graczem i wielkim fanem parków rozrywki. Moje hobby to gry komputerowe, planszowe oraz wizyty w parkach rozrywki, gdzie mogę doświadczać różnorodnych atrakcji. Najchętniej spędzam wolny czas w miejscach, które oferują zarówno emocjonujące gry, jak i unikalne rozrywki.","{'Data': 'Planuję swoją wycieczkę na sierpień. Będzie trwała 10 dni, od 5 sierpnia do 14 sierpnia.'}",5,4,3,2,2,1,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,3,1,1,2,2,1,3,1,1
25,"Jestem zapalonym graczem planszowym i regularnie uczestniczę w turniejach gier planszowych. Moje hobby to kolekcjonowanie planszówek, organizowanie spotkań gry planszowej oraz udział w turniejach. Najchętniej spędzam wolny czas w miejscach, które oferują szeroki wybór gier planszowych oraz organizują turnieje dla społeczności graczy.","{'Data': 'Planuję swoją wycieczkę na maj. Będzie trwała 7 dni, od 15 maja do 21 maja.'}",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
26,"Jestem zafascynowany kulturą ludów pierwotnych i miejscami ich osadnictwa. Moje hobby to eksploracja miejsc o bogatej historii etnicznej, uczestnictwo w wydarzeniach kulturowych i nauka o tradycjach pierwotnych społeczności. Najchętniej spędzam wolny czas w miejscach, gdzie mogę lepiej zrozumieć dziedzictwo i kulturę ludów pierwotnych.","{'Data': 'Planuję swoją wycieczkę na wrzesień. Będzie trwała 12 dni, od 10 września do 21 września.'}",1,1,1,1,1,1,1,1,3,4,5,2,3,2,1,2,1,1,1,1,1,2,1,5,3,2,3,3,2,3,2,3,2,4,4,1,1,2,4,5,2,1,4,3,4,1,1,1,1,1,2,4,3
27,"Jestem zainteresowany medycyną naturalną i kuracjami ziołowymi. Moje hobby to zbieranie ziół, eksperymentowanie z naturalnymi lekarstwami i uczestnictwo w wydarzeniach związanych z medycyną alternatywną. Najchętniej spędzam wolny czas w miejscach, gdzie mogę czerpać z dobrodziejstw natury i korzystać z tradycyjnych metod leczenia.","{'Data': 'Planuję swoją wycieczkę na październik. Będzie trwała 8 dni, od 5 października do 12 października.'}",1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,2,1,1
28,"Jestem zainteresowany fotografią krajobrazową. Moje hobby to eksploracja malowniczych miejsc, uchwycenie piękna natury na zdjęciach oraz udział w wydarzeniach fotograficznych. Najchętniej spędzam wolny czas w miejscach, które oferują wyjątkowe krajobrazy i inspirują do tworzenia pięknych fotografii.","{'Data': 'Planuję swoją wycieczkę na maj. Będzie trwała 10 dni, od 15 maja do 24 maja.'}",1,3,2,1,1,1,1,1,4,5,5,4,3,3,1,2,2,3,3,2,2,3,2,3,4,3,2,2,2,3,3,3,2,4,4,2,2,2,4,4,2,1,4,3,4,1,2,2,2,3,5,4,4
29,"Jestem zainteresowany historią. Moje hobby to zwiedzanie miejsc o bogatej przeszłości, uczestnictwo w wydarzeniach historycznych oraz eksploracja zabytków. Najchętniej spędzam wolny czas w miejscach, które pozwalają mi zgłębić historię, odkrywać tajemnice przeszłości i doceniać dziedzictwo kulturowe.","{'Data': 'Planuję swoją wycieczkę na lipiec. Będzie trwała 14 dni, od 10 lipca do 23 lipca.'}",1,2,1,1,1,1,2,1,3,4,3,2,4,3,2,3,4,4,5,3,3,2,3,5,5,4,4,5,5,5,4,4,4,4,3,2,1,2,3,5,3,2,5,4,5,2,1,1,1,2,3,5,4
30,"Jestem zainteresowany architekturą. Moje hobby to zwiedzanie miejsc o interesującej architekturze, studiowanie różnych stylów budowli oraz uczestnictwo w wydarzeniach związanych z architekturą. Najchętniej spędzam wolny czas w miejscach, które oferują unikalne i inspirujące rozwiązania architektoniczne.","{'Data': 'Planuję swoją wycieczkę na sierpień. Będzie trwała 12 dni, od 8 sierpnia do 19 sierpnia.'}",1,4,2,1,1,1,3,1,2,3,1,1,4,3,1,1,3,5,5,3,3,2,2,1,4,4,1,2,1,1,1,2,1,3,1,1,2,3,2,1,2,1,3,2,4,1,1,1,1,4,5,5,4
31,"Jestem studentem informatyki, zafascynowanym technologią i nowinkami z dziedziny IT. Moje hobby to programowanie, eksperymentowanie z nowymi językami programowania oraz uczestnictwo w hackathonach. Wolny czas najchętniej spędzam na zwiedzaniu miejsc, gdzie mogę zobaczyć innowacyjne rozwiązania technologiczne.","{'Data': 'Planuję swoją wycieczkę na wrzesień. Będzie trwała 7 dni, od 15 września do 21 września.'}",2,3,1,2,1,2,2,1,2,3,1,1,4,2,1,2,5,2,2,1,1,1,1,1,3,2,1,3,2,2,1,1,1,2,1,1,1,2,3,2,1,1,3,2,4,1,2,1,1,4,4,2,3
32,"Jestem entuzjastą kulinariów i lokalnej kultury. Moje hobby to odkrywanie tradycyjnych potraw, uczestnictwo w festiwalach kulinarnej sztuki oraz eksploracja miejsc związanych z lokalną kulturą. Wolny czas najchętniej spędzam na degustacjach regionalnych specjałów i uczestnictwie w wydarzeniach promujących dziedzictwo kulinarno-kulturowe.","{'Data': 'Planuję swoją wycieczkę na październik. Będzie trwała 9 dni, od 5 października do 13 października.'}",2,3,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,2,2,2,3,2,2,1,1,1,1,2,2,2
33,"Jestem miłośnikiem dzikiej przyrody i aktywnego wypoczynku na świeżym powietrzu. Moje hobby to trekking, wspinaczka górska oraz obserwacja dzikich zwierząt. Wolny czas najchętniej spędzam w parkach narodowych, nad jeziorami i w górach.","{'Data': 'Planuję swoją wycieczkę na maj. Będzie trwała 10 dni, od 12 maja do 21 maja.'}",1,2,1,1,1,5,1,1,4,5,5,1,2,4,1,2,1,1,1,1,1,1,1,2,3,3,3,2,2,3,2,1,1,2,1,1,1,2,3,3,1,1,3,2,2,1,1,2,2,1,3,2,1
34,"Jestem pasjonatem sztuki nowoczesnej i muzeów sztuki współczesnej. Moje hobby to eksploracja nowatorskich dzieł sztuki, uczestnictwo w wystawach oraz kolekcjonowanie sztuki współczesnej. Wolny czas najchętniej spędzam w miejscach, które oferują oryginalne i nowatorskie doświadczenia artystyczne.","{'Data': 'Planuję swoją wycieczkę na lipiec. Będzie trwała 14 dni, od 7 lipca do 20 lipca.'}",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,4,1,1,1,1,1,2,1,1
35,"Jestem entuzjastą dziedzictwa kulturowego i zabytków historycznych. Moje hobby to zgłębianie historii, eksploracja starożytnych miejsc i uczestnictwo w wydarzeniach kulturowych. Wolny czas najchętniej spędzam na zwiedzaniu muzeów, zamków i innych miejsc o bogatej historii.","{'Data': 'Planuję swoją wycieczkę na sierpień. Będzie trwała 12 dni, od 10 sierpnia do 21 sierpnia.'}",1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,4,3,2,1,2,4,5,4,3,4,3,4,3,2,1,3,1,1,1,2,2,4,2,1,5,3,4,1,1,1,1,1,3,4,2
36,"Jestem miłośnikiem podróży w czasie i miejsc historycznych związanych z ważnymi wydarzeniami. Moje hobby to zgłębianie historii, odwiedzanie miejsc związanych z ważnymi wydarzeniami oraz uczestnictwo w wydarzeniach kulturowych. Wolny czas najchętniej spędzam na zwiedzaniu muzeów, pól bitewnych i miejsc o historycznym znaczeniu.","{'Data': 'Planuję swoją wycieczkę na wrzesień. Będzie trwała 10 dni, od 15 września do 24 września.'}",1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4,4,3,2,1,2,4,4,3,3,4,4,4,3,2,1,3,1,1,1,2,2,4,3,2,5,4,4,2,1,1,1,1,3,4,2
37,"Jestem entuzjastą festiwali filmowych i miejsc związanych z kinematografią. Moje hobby to oglądanie filmów, zwiedzanie miejsc związanych z historią kina i uczestnictwo w festiwalach filmowych. Wolny czas najchętniej spędzam w kinach, muzeach filmowych oraz na festiwalach promujących sztukę filmową.","{'Data': 'Planuję swoją wycieczkę na październik. Będzie trwała 7 dni, od 15 października do 21 października.'}",1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,2,1,1
38,"Jestem zafascynowany dziedzictwem kulturowym, historią i architekturą. Moje hobby obejmuje zwiedzanie muzeów, zabytków, a także uczestnictwo w lokalnych wydarzeniach kulturalnych. Wolny czas najchętniej spędzam na odkrywaniu miejsc z bogatą historią i charakterystyczną architekturą.","{'Data': 'Planuję swoją wycieczkę na maj. Będzie trwała 10 dni, od 5 maja do 15 maja.'}",2,3,2,1,2,1,2,1,2,3,4,3,3,2,1,2,4,4,5,3,2,1,2,4,5,4,3,4,3,4,3,2,1,3,1,1,2,3,4,4,4,2,5,4,5,2,3,3,2,3,4,5,3
39,"Jestem zagorzałym fanem piłki nożnej. Moje hobby obejmuje oglądanie meczów, zbieranie gadżetów związanych z moimi ulubionymi drużynami i uczestnictwo w meczach na żywo. Wolny czas najchętniej spędzam na stadionach, w barach kibiców i w miejscach, gdzie można poczuć klimat futbolowej pasji.","{'Data': 'Planuję swoją wycieczkę na czerwiec. Będzie trwała 7 dni, od 10 czerwca do 16 czerwca.'}",2,1,1,1,2,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
40,"Jestem pasjonatem anime i japońskiej kultury. Moje hobby to oglądanie anime, czytanie mangi, kolekcjonowanie figurek i uczestnictwo w wydarzeniach związanych z kulturą japońską. Wolny czas najchętniej spędzam w sklepach z gadżetami, na konwentach anime oraz w miejscach, gdzie mogę doświadczyć autentycznej atmosfery Japonii.","{'Data': 'Planuję swoją wycieczkę na lipiec. Będzie trwała 8 dni, od 8 lipca do 15 lipca.'}",2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,2,2,3,1,1,1,1,2,1,1
41,"Jestem pasjonatem militariów i nowych technologii. Moje hobby obejmuje zwiedzanie muzeów militarnych, uczestnictwo w pokazach nowoczesnej technologii wojskowej oraz kolekcjonowanie gadżetów związanych z militariami. Wolny czas najchętniej spędzam w miejscach, gdzie mogę zgłębić historię militarne oraz zobaczyć najnowsze osiągnięcia technologiczne.","{'Data': 'Planuję swoją wycieczkę na wrzesień. Będzie trwała 6 dni, od 15 września do 20 września.'}",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,2,5,5,4,3,2,1,1,3,1,1,1,2,1,1,1,2,4,3,4,1,1,1,1,1,2,2,1
