,text,date,amusement_parks,ferris_wheels,water_parks,miniature_parks,baths_and_saunas,climbing,stadiums,winter_sports,natural_springs,water,nature_reserves,beaches,railway_stations,dams,mints,mineshafts,science_museums,churches,cathedrals,monasteries,synagogues,hindu_temples,mosques,archaeology,castles,fortified_towers,bunkers,military_museums,battlefields,war_graves,cemeteries,mausoleums,crypts,monuments,tumuluses,wall_painting,fountains,sculptures,gardens_and_parks,archaeological_museums,art_galleries,biographical_museums,history_museums,local_museums,national_museums,fashion_museums,planetariums,zoos,aquariums,skyscrapers,towers,historic_architecture,bridges
10,"Jestem aktywistą zaangażowanym w ochronę środowiska, a ekologia to moja pasja. Moje hobby to udział w akcjach ekologicznych, eksploracja zrównoważowanych miejsc i propagowanie proekologicznych praktyk. Najchętniej spędzam wolny czas w miejscach, gdzie mogę doświadczyć harmonii z przyrodą i wspierać inicjatywy ekologiczne.","Planuję swoją wycieczkę na lipiec. Będzie trwała 12 dni, od 5 lipca do 17 lipca.",1,2,3,1,1,1,1,1,4,5,5,4,3,3,1,1,2,1,1,1,1,1,1,3,2,1,3,1,1,1,2,1,1,4,3,2,2,3,5,4,2,1,3,2,3,1,1,4,3,2,3,2,4
11,"Jestem pasjonatem historii i architektury, fascynuje mnie dziedzictwo kulturowe. Moje hobby to zwiedzanie zabytków, studiowanie architektury różnych epok oraz czytanie książek historycznych. Najchętniej spędzam wolny czas w miejscach, gdzie mogę odkrywać unikatowe dzieła architektoniczne i zgłębiać historię danego regionu.","Planuję swoją wycieczkę na wrzesień. Będzie trwała 14 dni, od 10 września do 24 września.",1,3,1,2,1,1,2,1,1,4,2,1,4,3,2,3,4,5,4,3,3,2,3,5,4,4,3,4,4,3,3,3,2,3,2,1,2,2,2,5,3,2,5,4,5,1,1,2,1,2,4,5,4
12,"Jestem entuzjastą przyrody i parków narodowych, uwielbiam odkrywać piękno dzikiej przyrody. Moje hobby to piesze wędrówki, obserwacja ptaków, i fotografowanie krajobrazów naturalnych. Najchętniej spędzam wolny czas w miejscach, gdzie mogę być blisko natury i doświadczać różnorodności ekosystemów.","Planuję swoją wycieczkę na maj. Będzie trwała 10 dni, od 15 maja do 25 maja.",1,1,2,1,1,1,1,1,4,5,5,3,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,2,4,1,1,1,4,3,1,1,2,1,3,1,1,2,1,1,2,1,1
13,"Jestem pasjonatem sztuki nowoczesnej i uwielbiam eksplorować muzea prezentujące najnowsze trendy artystyczne. Moje hobby to uczestnictwo w wystawach, śledzenie twórczości nowoczesnych artystów oraz kolekcjonowanie dzieł współczesnej sztuki. Najchętniej spędzam wolny czas w miejscach, gdzie mogę doświadczać innowacji i świeżego spojrzenia na sztukę.","Planuję swoją wycieczkę na październik. Będzie trwała 7 dni, od 10 października do 17 października.",1,3,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,5,1,2,1,4,1,1,1,1,3,4,1,2
14,"Jestem miłośnikiem kuchni regionalnej i fascynuje mnie różnorodność smaków. Moje hobby to degustacja lokalnych potraw, uczestnictwo w festiwalach kulinarnej sztuki oraz eksploracja tradycyjnych kulinariów. Najchętniej spędzam wolny czas w miejscach, gdzie mogę odkrywać unikalne smaki i doświadczać autentycznych kulinarnych tradycji.","Planuję swoją wycieczkę na sierpień. Będzie trwała 9 dni, od 10 sierpnia do 18 sierpnia.",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
15,"Jestem entuzjastą sportów ekstremalnych i uwielbiam adrenalinę. Moje hobby to windsurfing, snowboarding, wspinaczka, i inne ekstremalne aktywności. Najchętniej spędzam wolny czas w miejscach, gdzie mogę doświadczyć ekstremalnych przygód i korzystać z doskonałych warunków do uprawiania moich ulubionych sportów.","Planuję swoją wycieczkę na marzec. Będzie trwała 6 dni, od 15 marca do 20 marca.",1,1,3,1,1,5,1,4,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,1
16,"Jestem fanem dziedzictwa kulturowego i uwielbiam zgłębiać historię poprzez zabytki. Moje hobby to zwiedzanie muzeów, zamków, i miejsc o bogatej historii. Najchętniej spędzam wolny czas w miejscach, gdzie mogę odkrywać unikatowe dziedzictwo kulturowe i historyczne zabytki.","Planuję swoją wycieczkę na maj. Będzie trwała 12 dni, od 10 maja do 21 maja.",1,4,1,2,1,1,1,1,3,3,2,1,4,2,3,4,4,5,4,4,3,2,3,5,5,4,3,4,4,3,3,4,3,4,3,2,2,4,4,5,4,3,5,4,5,3,1,1,1,2,5,5,4
17,"Jestem zafascynowany roślinnością i uwielbiam odkrywać różnorodność flory. Moje hobby to zwiedzanie ogrodów botanicznych, poznawanie różnych gatunków roślin oraz pielęgnacja własnego ogrodu. Najchętniej spędzam wolny czas w miejscach, gdzie mogę podziwiać piękno roślinności i ogrodów botanicznych.","Planuję swoją wycieczkę na czerwiec. Będzie trwała 8 dni, od 15 czerwca do 22 czerwca.",1,2,2,1,1,1,1,1,4,3,3,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,2,1,2,1,1,1,1,1,3,1,1
18,"Jestem entuzjastą dzikiej przyrody i uwielbiam obserwować dzikie zwierzęta w ich naturalnym środowisku. Moje hobby to safari, eksploracja parków narodowych i dbanie o ochronę dzikiej fauny. Najchętniej spędzam wolny czas w miejscach, gdzie mogę podziwiać dziką przyrodę i uczestniczyć w safari.","Planuję swoją wycieczkę na lipiec. Będzie trwała 10 dni, od 5 lipca do 15 lipca.",1,1,1,1,1,1,1,1,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,4,1,1,5,1,1,4,1,2
19,"Jestem zapalonym podróżnikiem i fascynuje mnie poznawanie różnorodności kulturowej oraz tradycji miejscowych społeczności. Moje hobby to eksploracja lokalnej kuchni, uczestnictwo w tradycyjnych świętach i spotykaniu się z miejscowymi mieszkańcami. Najchętniej spędzam wolny czas w miejscach, gdzie mogę zanurzyć się w autentycznej kulturze i tradycjach ludzi.","Planuję swoją wycieczkę na wrzesień. Będzie trwała 14 dni, od 10 września do 23 września.",1,2,1,1,1,1,1,1,3,2,3,2,4,2,2,1,1,4,3,4,3,3,3,2,4,2,1,1,2,1,3,2,1,3,1,2,1,2,2,3,4,2,5,4,5,1,1,1,1,1,3,5,3
20,"Jestem entuzjastą działań na świeżym powietrzu i uwielbiam aktywności rekreacyjne. Moje hobby to wędrówki, rower, bieganie, jazda na nartach i wszelkiego rodzaju sporty outdoorowe. Najchętniej spędzam wolny czas w miejscach, gdzie mogę cieszyć się aktywnościami na świeżym powietrzu.","Planuję swoją wycieczkę na październik. Będzie trwała 7 dni, od 8 października do 14 października.",1,1,1,1,1,4,1,4,2,3,5,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,2,1,1,1,1,1,4,1,1
21,"Jestem pasjonatem podróży w czasie i fascynuje mnie historia miejsc związanych z ważnymi wydarzeniami. Moje hobby to zwiedzanie miejsc historycznych, muzeów oraz odkrywanie tajemnic przeszłości. Najchętniej spędzam wolny czas w miejscach, gdzie mogę zagłębić się w historię i kulturę danego okresu.","Planuję swoją wycieczkę na listopad. Będzie trwała 10 dni, od 7 listopada do 16 listopada.",1,2,1,1,1,1,1,1,2,4,3,1,3,2,3,2,4,5,4,4,3,2,3,5,5,4,3,4,4,3,3,4,3,4,3,2,2,4,4,5,4,3,5,4,5,3,1,1,1,2,5,5,4
22,"Jestem entuzjastą festiwali filmowych i uwielbiam eksplorować miejsca związane z kinematografią. Moje hobby to oglądanie filmów, uczestnictwo w festiwalach filmowych oraz zwiedzanie miejsc związanych z historią kina. Najchętniej spędzam wolny czas w miejscach, gdzie mogę czerpać z kulturalnego bogactwa świata filmu.","Planuję swoją wycieczkę na grudzień. Będzie trwała 6 dni, od 10 grudnia do 15 grudnia.",1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,4,5,3,2,4,4,1,1,1,1,3,1,1
23,"Jestem miłośnikiem rekreacji wodnej i uwielbiam spędzać czas na plażach nadmorskich. Moje hobby to surfowanie, pływanie, nurkowanie i relaksowanie się na pięknych plażach. Najchętniej spędzam wolny czas w miejscach, gdzie mogę cieszyć się wodnymi atrakcjami i malowniczymi plażami.","Planuję swoją wycieczkę na lipiec. Będzie trwała 14 dni, od 1 lipca do 14 lipca.",1,1,4,1,3,1,1,1,1,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,3,1,2
24,"Jestem zapalonym graczem i wielkim fanem parków rozrywki. Moje hobby to gry komputerowe, planszowe oraz wizyty w parkach rozrywki, gdzie mogę doświadczać różnorodnych atrakcji. Najchętniej spędzam wolny czas w miejscach, które oferują zarówno emocjonujące gry, jak i unikalne rozrywki.","Planuję swoją wycieczkę na sierpień. Będzie trwała 10 dni, od 5 sierpnia do 14 sierpnia.",5,4,3,2,2,1,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,3,1,1,2,2,1,3,1,1
25,"Jestem zapalonym graczem planszowym i regularnie uczestniczę w turniejach gier planszowych. Moje hobby to kolekcjonowanie planszówek, organizowanie spotkań gry planszowej oraz udział w turniejach. Najchętniej spędzam wolny czas w miejscach, które oferują szeroki wybór gier planszowych oraz organizują turnieje dla społeczności graczy.","Planuję swoją wycieczkę na maj. Będzie trwała 7 dni, od 15 maja do 21 maja.",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
26,"Jestem zafascynowany kulturą ludów pierwotnych i miejscami ich osadnictwa. Moje hobby to eksploracja miejsc o bogatej historii etnicznej, uczestnictwo w wydarzeniach kulturowych i nauka o tradycjach pierwotnych społeczności. Najchętniej spędzam wolny czas w miejscach, gdzie mogę lepiej zrozumieć dziedzictwo i kulturę ludów pierwotnych.","Planuję swoją wycieczkę na wrzesień. Będzie trwała 12 dni, od 10 września do 21 września.",1,1,1,1,1,1,1,1,3,4,5,2,3,2,1,2,1,1,1,1,1,2,1,5,3,2,3,3,2,3,2,3,2,4,4,1,1,2,4,5,2,1,4,3,4,1,1,1,1,1,2,4,3
27,"Jestem zainteresowany medycyną naturalną i kuracjami ziołowymi. Moje hobby to zbieranie ziół, eksperymentowanie z naturalnymi lekarstwami i uczestnictwo w wydarzeniach związanych z medycyną alternatywną. Najchętniej spędzam wolny czas w miejscach, gdzie mogę czerpać z dobrodziejstw natury i korzystać z tradycyjnych metod leczenia.","Planuję swoją wycieczkę na październik. Będzie trwała 8 dni, od 5 października do 12 października.",1,1,1,1,1,1,1,1,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,2,1,1
28,"Jestem zainteresowany fotografią krajobrazową. Moje hobby to eksploracja malowniczych miejsc, uchwycenie piękna natury na zdjęciach oraz udział w wydarzeniach fotograficznych. Najchętniej spędzam wolny czas w miejscach, które oferują wyjątkowe krajobrazy i inspirują do tworzenia pięknych fotografii.","Planuję swoją wycieczkę na maj. Będzie trwała 10 dni, od 15 maja do 24 maja.",1,3,2,1,1,1,1,1,4,5,5,4,3,3,1,2,2,3,3,2,2,3,2,3,4,3,2,2,2,3,3,3,2,4,4,2,2,2,4,4,2,1,4,3,4,1,2,2,2,3,5,4,4
29,"Jestem zainteresowany historią. Moje hobby to zwiedzanie miejsc o bogatej przeszłości, uczestnictwo w wydarzeniach historycznych oraz eksploracja zabytków. Najchętniej spędzam wolny czas w miejscach, które pozwalają mi zgłębić historię, odkrywać tajemnice przeszłości i doceniać dziedzictwo kulturowe.","Planuję swoją wycieczkę na lipiec. Będzie trwała 14 dni, od 10 lipca do 23 lipca.",1,2,1,1,1,1,2,1,3,4,3,2,4,3,2,3,4,4,5,3,3,2,3,5,5,4,4,5,5,5,4,4,4,4,3,2,1,2,3,5,3,2,5,4,5,2,1,1,1,2,3,5,4
30,"Jestem zainteresowany architekturą. Moje hobby to zwiedzanie miejsc o interesującej architekturze, studiowanie różnych stylów budowli oraz uczestnictwo w wydarzeniach związanych z architekturą. Najchętniej spędzam wolny czas w miejscach, które oferują unikalne i inspirujące rozwiązania architektoniczne.","Planuję swoją wycieczkę na sierpień. Będzie trwała 12 dni, od 8 sierpnia do 19 sierpnia.",1,4,2,1,1,1,3,1,2,3,1,1,4,3,1,1,3,5,5,3,3,2,2,1,4,4,1,2,1,1,1,2,1,3,1,1,2,3,2,1,2,1,3,2,4,1,1,1,1,4,5,5,4
31,"Jestem studentem informatyki, zafascynowanym technologią i nowinkami z dziedziny IT. Moje hobby to programowanie, eksperymentowanie z nowymi językami programowania oraz uczestnictwo w hackathonach. Wolny czas najchętniej spędzam na zwiedzaniu miejsc, gdzie mogę zobaczyć innowacyjne rozwiązania technologiczne.","Planuję swoją wycieczkę na wrzesień. Będzie trwała 7 dni, od 15 września do 21 września.",2,3,1,2,1,2,2,1,2,3,1,1,4,2,1,2,5,2,2,1,1,1,1,1,3,2,1,3,2,2,1,1,1,2,1,1,1,2,3,2,1,1,3,2,4,1,2,1,1,4,4,2,3
